"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"id_ndp_edificio";"id_clase_ndp_edificio";"desc_ndp_edificio";"Cod_Postal";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"secuencial_local_PC";"Escalera";"id_planta_agrupado";"id_local_agrupado";"coordenada_x_agrupacion";"coordenada_y_agrupacion";"id_periodo_terraza";"desc_periodo_terraza";"id_situacion_terraza";"desc_situacion_terraza";"Superficie_ES";"Superficie_RA";"Fecha_confir_ult_decreto_resol";"id_ndp_terraza";"id_clase_ndp_terraza";"desc_ndp_terraza";"rotulo"
"10000003";"1";"CENTRO              ";"104";"JUSTICIA            ";"11005235";"1";"CALLE  BARCELO NUM 5   ";"28004";"440664,26";"4475546,14";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"6,48";"6,48";"07/04/2015";"11005235";"1";"CALLE  BARCELO NUM 5   ";"VITACA"
"10000071";"1";"CENTRO              ";"106";"SOL                 ";"11007454";"1";"CALLE  BARCELONA NUM 12   ";"28012";"440498,63";"4474285,77";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"4,32";"4,32";"04/05/2015";"11007454";"1";"CALLE  BARCELONA NUM 12   ";"LA DESCUBIERTA"
"10000093";"1";"CENTRO              ";"104";"JUSTICIA            ";"20005422";"1";"CALLE  BARQUILLO NUM 7   ";"28004";"441063,55";"4474864,39";"1";"Puerta Calle";"1";"Abierto";"30";"";"";"";"";"";"1";"Anual";"1";"Abierta";"27,72";"27,72";"16/09/2016";"11004306";"1";"PLAZA  REY NUM 4   ";"PLAZA DEL REY CAFETERIA EL CIRCO"
"10000150";"1";"CENTRO              ";"106";"SOL                 ";"11007683";"1";"PLAZA  MAYOR NUM 1   ";"28012";"440154,52";"4474271,6";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"54";"54";"22/03/2016";"11007690";"1";"PLAZA  MAYOR NUM 2   ";"CAFE LOS ARCOS BAR"
"10000319";"1";"CENTRO              ";"101";"PALACIO             ";"11001044";"1";"CALLE  BAILEN NUM 20   ";"28005";"439528,48";"4473907,41";"1";"Puerta Calle";"1";"Abierto";"20";"";"";"";"";"";"1";"Anual";"1";"Abierta";"5,76";"5,76";"05/12/2016";"11001044";"1";"CALLE  BAILEN NUM 20   ";"RESTAURANTE  LA VACA ARGENTINA"
"10000325";"1";"CENTRO              ";"101";"PALACIO             ";"11000323";"1";"CALLE  VERGARA NUM 1   ";"28013";"439866,5";"4474580,85";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"4,32";"4,32";"01/04/2015";"11000323";"1";"CALLE  VERGARA NUM 1   ";"NEMRUT KEBAB PIZZA"
"10000401";"1";"CENTRO              ";"101";"PALACIO             ";"20003836";"1";"PLAZA  ISABEL II NUM 8   ";"28013";"439972,49";"4474593,88";"1";"Puerta Calle";"1";"Abierto";"30";"";"";"";"";"";"1";"Anual";"1";"Abierta";"9,72";"9,72";"04/03/2015";"20003822";"1";"CALLE  ARENAL NUM 30   ";"VIENA CAPELLANES"
"10000503";"1";"CENTRO              ";"106";"SOL                 ";"11007793";"1";"CALLE  ARENAL NUM 9   ";"28013";"0";"0";"1";"Agrupado";"0";"Abierto";"0";"";"PB";"EX49";"440200,06";"4474492,53";"1";"Anual";"1";"Abierta";"8,1";"8,1";"20/02/2015";"11007793";"1";"CALLE  ARENAL NUM 9   ";"CAFE AND TE (L-10)"
"10000517";"1";"CENTRO              ";"101";"PALACIO             ";"11000742";"1";"PLAZA  CEBADA NUM 9   ";"28005";"439874,65";"4473882,25";"1";"Puerta Calle";"1";"Abierto";"10";"";"";"";"";"";"1";"Anual";"1";"Abierta";"3,78";"3,78";"22/01/2015";"11000742";"1";"PLAZA  CEBADA NUM 9   ";"BAR LA EXTREME�A"
"10000876";"1";"CENTRO              ";"106";"SOL                 ";"11007781";"1";"CALLE  ARENAL NUM 15   ";"28013";"440074,15";"4474540,05";"1";"Puerta Calle";"1";"Abierto";"70";"";"";"";"";"";"1";"Anual";"1";"Abierta";"7,92";"7,92";"27/05/2015";"11007781";"1";"CALLE  ARENAL NUM 15   ";"GINOS"
