"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"id_ndp_edificio";"id_clase_ndp_edificio";"desc_ndp_edificio";"Cod_Postal";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"secuencial_local_PC";"Escalera";"id_planta_agrupado";"id_local_agrupado";"coordenada_x_agrupacion";"coordenada_y_agrupacion";"rotulo";"id_periodo_terraza";"desc_periodo_terraza";"id_situacion_terraza";"desc_situacion_terraza";"Superficie_ES";"Superficie_RA";"Fecha_confir_ult_decreto_resol";"id_ndp_terraza";"id_clase_ndp_terraza";"desc_ndp_terraza";"desc_ubicacion_terraza";"hora_ini_LJ_es";"hora_fin_LJ_es";"hora_ini_LJ_ra";"hora_fin_LJ_ra";"hora_ini_VS_es";"hora_fin_VS_es";"hora_ini_VS_ra";"hora_fin_VS_ra";"mesas_aux_es";"mesas_aux_ra";"mesas_es";"mesas_ra";"sillas_es";"sillas_ra";"id_terraza"
"10000003";"1";"CENTRO              ";"104";"JUSTICIA            ";"11005235";"1";"CALLE  BARCELO NUM 5   ";"28004";"440554,59";"4475338,53";"1";"Puerta Calle";"1";"Abierto";"10";"";"PB";"";"";"";"VITACA";"1";"Anual";"1";"Abierta";"6,48";"6,48";"07/04/2015";"11005235";"1";"CALLE  BARCELO NUM 5   ";"Acera";"2.70";"10:00:00";"10:00:00";"23:00:00";"10:00:00";"01:30:00";"10:00:00";"23:00:00";"0";"0";"2";"2";"8";"8";"2038"
"10000071";"1";"CENTRO              ";"106";"SOL                 ";"11007454";"1";"CALLE  BARCELONA NUM 12   ";"28012";"440388,59";"4474077,53";"1";"Puerta Calle";"1";"Abierto";"10";"";"PB";"";"";"";"LA DESCUBIERTA";"1";"Anual";"1";"Abierta";"4,32";"4,32";"04/05/2015";"11007454";"1";"CALLE  BARCELONA NUM 12   ";"Calle peatonal";"10:00:00";"12:00:00";"10:00:00";"23:00:00";"10:00:00";"01:30:00";"10:00:00";"23:00:00";"0";"0";"3";"3";"6";"6";"2316"
"10000093";"1";"CENTRO              ";"104";"JUSTICIA            ";"20005422";"1";"CALLE  BARQUILLO NUM 7   ";"28004";"440953,59";"4474656,52";"1";"Puerta Calle";"1";"Abierto";"30";"";"PB";"";"";"";"LA REVOLTOSA";"1";"Anual";"1";"Abierta";"27,72";"27,72";"16/09/2016";"11004306";"1";"PLAZA  REY NUM 4   ";"Plaza peatonal";"10:00:00";"00:00:00";"10:00:00";"23:00:00";"10:00:00";"01:30:00";"10:00:00";"23:00:00";"0";"0";"8";"8";"32";"32";"3793"
"10000150";"1";"CENTRO              ";"106";"SOL                 ";"11007683";"1";"PLAZA  MAYOR NUM 1   ";"28012";"440044,59";"4474063,53";"1";"Puerta Calle";"1";"Abierto";"10";"";"PB";"";"";"";"CAFE LOS ARCOS BAR";"1";"Anual";"1";"Abierta";"54";"54";"22/03/2016";"11007690";"1";"PLAZA  MAYOR NUM 2   ";"Plaza peatonal";"10:00:00";"01:00:00";"10:00:00";"23:00:00";"10:00:00";"02:30:00";"10:00:00";"23:00:00";"2";"2";"15";"15";"60";"60";"3321"
"10000325";"1";"CENTRO              ";"101";"PALACIO             ";"11000323";"1";"CALLE  VERGARA NUM 1   ";"28013";"439756,6";"4474372,53";"1";"Puerta Calle";"1";"Abierto";"10";"";"PB";"";"";"";"NEMRUT KEBAB PIZZA";"1";"Anual";"1";"Abierta";"4,32";"4,32";"01/04/2015";"11000323";"1";"CALLE  VERGARA NUM 1   ";"Acera";"10:00:00";"01:00:00";"10:00:00";"23:00:00";"10:00:00";"02:30:00";"10:00:00";"23:00:00";"0";"0";"3";"3";"6";"6";"1940"
"10000401";"1";"CENTRO              ";"101";"PALACIO             ";"20003836";"1";"PLAZA  ISABEL II NUM 8   ";"28013";"439862,6";"4474385,53";"1";"Puerta Calle";"1";"Abierto";"30";"";"PB";"";"";"";"VIENA CAPELLANES";"1";"Anual";"1";"Abierta";"9,72";"9,72";"04/03/2015";"20003822";"1";"CALLE  ARENAL NUM 30   ";"Calle peatonal";"0.00";"10:00:00";"10:00:00";"00:00:00";"10:00:00";"02:00:00";"10:00:00";"00:00:00";"0";"0";"3";"3";"12";"12";"1666"
"10000503";"1";"CENTRO              ";"106";"SOL                 ";"11007793";"1";"CALLE  ARENAL NUM 9   ";"28013";"0";"0";"0";"Agrupado";"1";"Abierto";"0";"";"PB";"EX49";"440090,59";"4474284,53";"CAFE AND TE (L-10)";"1";"Anual";"1";"Abierta";"8,1";"8,1";"20/02/2015";"11007793";"1";"CALLE  ARENAL NUM 9   ";"Calle peatonal";"10:00:00";"01:00:00";"10:00:00";"00:00:00";"10:00:00";"02:30:00";"10:00:00";"00:00:00";"0";"0";"5";"5";"11";"11";"1561"
"10000517";"1";"CENTRO              ";"101";"PALACIO             ";"11000742";"1";"PLAZA  CEBADA NUM 9   ";"28005";"439764,59";"4473674,53";"1";"Puerta Calle";"1";"Abierto";"10";"";"PB";"";"";"";"BAR LA EXTREMEÑA";"1";"Anual";"1";"Abierta";"3,78";"3,78";"22/01/2015";"11000742";"1";"PLAZA  CEBADA NUM 9   ";"Acera";"2.58";"10:00:00";"10:00:00";"23:00:00";"10:00:00";"01:30:00";"10:00:00";"23:00:00";"0";"0";"2";"2";"5";"5";"1364"
"10000710";"1";"CENTRO              ";"102";"EMBAJADORES         ";"11001519";"1";"CALLE  SAN MILLAN NUM 3   ";"28012";"439953,59";"4473651,53";"1";"Puerta Calle";"1";"Abierto";"20";"";"PB";"";"";"";"RESTAURANTE LA BOFIA CERVEZAS Y SIDRAS";"1";"Anual";"1";"Abierta";"12,6";"12,6";"06/09/2017";"11001519";"1";"CALLE  SAN MILLAN NUM 3   ";"Acera";"10:00:00";"01:30:00";"10:00:00";"23:00:00";"10:00:00";"01:30:00";"10:00:00";"23:00:00";"0";"0";"5";"5";"15";"15";"6361"
"10000876";"1";"CENTRO              ";"106";"SOL                 ";"11007781";"1";"CALLE  ARENAL NUM 15   ";"28013";"439964,59";"4474332,53";"1";"Puerta Calle";"1";"Abierto";"70";"";"PB";"";"";"";"GINOS";"1";"Anual";"1";"Abierta";"7,92";"7,92";"27/05/2015";"11007781";"1";"CALLE  ARENAL NUM 15   ";"Calle peatonal";"10:00:00";"01:00:00";"10:00:00";"00:00:00";"10:00:00";"02:30:00";"10:00:00";"00:00:00";"0";"0";"3";"3";"10";"10";"2528"
"10001057";"1";"CENTRO              ";"102";"EMBAJADORES         ";"11001474";"1";"CALLE  TOLEDO NUM 51   ";"28005";"439940,59";"4473709,53";"1";"Puerta Calle";"1";"Abierto";"10";"";"PB";"";"";"";"BAR RESTAURANTE";"1";"Anual";"1";"Abierta";"9,36";"9,36";"05/07/2017";"11001474";"1";"CALLE  TOLEDO NUM 51   ";"Acera";"08:00:00";"01:30:00";"08:00:00";"01:00:00";"08:00:00";"01:30:00";"08:00:00";"01:00:00";"0";"0";"4";"4";"12";"12";"6227"
"10001062";"1";"CENTRO              ";"103";"CORTES              ";"11003428";"1";"PLAZA  PLATERIA DE MARTINEZ NUM 1   ";"28014";"441128,59";"4473776,52";"1";"Puerta Calle";"1";"Abierto";"20";"";"PB";"";"";"";"LA TAPERIA";"1";"Anual";"1";"Abierta";"62,62";"62,62";"21/03/2016";"11003428";"1";"PLAZA  PLATERIA DE MARTINEZ NUM 1   ";"Plaza con bandas permanentes de circulación rodada";"10:00:00";"01:00:00";"10:00:00";"23:00:00";"10:00:00";"02:30:00";"10:00:00";"23:00:00";"1";"1";"18";"18";"66";"66";"3309"
"10001127";"1";"CENTRO              ";"101";"PALACIO             ";"11000396";"1";"PLAZA  ISABEL II NUM 1   ";"28013";"439828,6";"4474367,53";"1";"Puerta Calle";"1";"Abierto";"20";"";"PB";"";"";"";"MCDONALD'S ÓPERA";"1";"Anual";"1";"Abierta";"9,72";"5,4";"05/02/2015";"11000396";"1";"PLAZA  ISABEL II NUM 1   ";"Acera";"2.50";"08:00:00";"08:00:00";"01:00:00";"08:00:00";"01:30:00";"08:00:00";"01:00:00";"0";"0";"3";"3";"12";"12";"1505"
"10001163";"1";"CENTRO              ";"106";"SOL                 ";"11007242";"1";"CALLE  VENERAS NUM 9   ";"28013";"439950,6";"4474584,53";"1";"Puerta Calle";"1";"Abierto";"30";"";"PB";"";"";"";"NIPPONSEI";"1";"Anual";"1";"Abierta";"15,12";"15,12";"23/11/2016";"20003766";"1";"PLAZA  SANTO DOMINGO NUM 19   ";"Plaza con bandas permanentes de circulación rodada";"10:00:00";"00:30:00";"10:00:00";"23:00:00";"10:00:00";"02:00:00";"10:00:00";"23:00:00";"0";"0";"8";"8";"16";"16";"3897"
