datos_año;clase_inmueble;distrito_cod;distrito_nombre;barrio_cod;barrio_nombre;uso_cod;uso_deno;inmuebles_barrio;año_cons_medio;sup_cons_barrio;sup_cons_media;sup_suelo_barrio;sup_suelo_media;val_cat_barrio;val_cat_medio
2014;UR;01;Centro;011;PALACIO;A;Almacén-Estacionamiento;3034;1969;214457;71;;;129.525.903,84 €;42.691,46 €
2014;UR;01;Centro;011;PALACIO;C;Comercial;1407;1921;223552;159;;;407.605.466,44 €;289.698,27 €
2014;UR;01;Centro;011;PALACIO;E;Cultural;36;1937;62963;1749;;;75.828.716,00 €;2.106.353,22 €
2014;UR;01;Centro;011;PALACIO;G;Ocio y Hostelería;254;1919;114226;450;;;195.413.848,02 €;769.345,86 €
2014;UR;01;Centro;011;PALACIO;I;Industrial;22;1942;13228;601;;;11.807.949,49 €;536.724,98 €
2014;UR;01;Centro;011;PALACIO;K;Deportivo;8;1946;7238;905;;;10.614.658,96 €;1.326.832,37 €
2014;UR;01;Centro;011;PALACIO;M;Suelos sin edificar, obras de urbanización y jardinería;47;;;;130010;2766;19.915.201,81 €;423.727,70 €
2014;UR;01;Centro;011;PALACIO;O;Oficinas;559;1947;196893;352;;;340.784.134,70 €;609.631,73 €
2014;UR;01;Centro;011;PALACIO;P;Edificio Singular;15;1891;197518;13168;;;281.666.751,43 €;18.777.783,43 €
2014;UR;01;Centro;011;PALACIO;R;Religioso;17;1884;102718;6042;;;114.254.183,76 €;6.720.834,34 €
2014;UR;01;Centro;011;PALACIO;T;Espectáculos;6;1941;86233;14372;;;156.383.941,89 €;26.063.990,32 €
2014;UR;01;Centro;011;PALACIO;V;Residencial;13133;1928;1367429;104;;;1.856.664.182,99 €;141.373,96 €
2014;UR;01;Centro;011;PALACIO;Y;Sanidad y Beneficencia;11;1939;25101;2282;;;25.184.133,43 €;2.289.466,68 €
2014;UR;01;Centro;012;EMBAJADORES;A;Almacén-Estacionamiento;3989;1974;261306;66;;;140.312.140,59 €;35.174,77 €
2014;UR;01;Centro;012;EMBAJADORES;C;Comercial;2630;1925;393880;150;;;574.936.352,75 €;218.606,98 €
2014;UR;01;Centro;012;EMBAJADORES;E;Cultural;48;1920;184010;3834;;;210.333.924,76 €;4.381.956,77 €
2014;UR;01;Centro;012;EMBAJADORES;G;Ocio y Hostelería;114;1919;56970;500;;;88.238.015,63 €;774.017,68 €
2014;UR;01;Centro;012;EMBAJADORES;I;Industrial;25;1938;3677;147;;;2.699.860,87 €;107.994,43 €
2014;UR;01;Centro;012;EMBAJADORES;K;Deportivo;2;1988;1092;546;;;1.413.430,17 €;706.715,08 €
2014;UR;01;Centro;012;EMBAJADORES;M;Suelos sin edificar, obras de urbanización y jardinería;36;;;;19914;553;16.791.454,50 €;466.429,29 €
2014;UR;01;Centro;012;EMBAJADORES;O;Oficinas;176;1944;90991;517;;;85.483.632,55 €;485.702,46 €
2014;UR;01;Centro;012;EMBAJADORES;P;Edificio Singular;3;1918;18576;6192;;;18.586.882,51 €;6.195.627,50 €
2014;UR;01;Centro;012;EMBAJADORES;R;Religioso;8;1865;17785;2223;;;15.345.569,12 €;1.918.196,14 €
2014;UR;01;Centro;012;EMBAJADORES;T;Espectáculos;7;1935;21278;3040;;;28.170.766,10 €;4.024.395,16 €
2014;UR;01;Centro;012;EMBAJADORES;V;Residencial;24603;1927;1984457;81;;;2.467.074.544,58 €;100.275,35 €
2014;UR;01;Centro;012;EMBAJADORES;Y;Sanidad y Beneficencia;9;1982;8165;907;;;8.949.180,47 €;994.353,39 €
2014;UR;01;Centro;013;CORTES;A;Almacén-Estacionamiento;1532;1967;119842;78;;;87.283.393,56 €;56.973,49 €
2014;UR;01;Centro;013;CORTES;C;Comercial;858;1916;146986;171;;;285.597.289,51 €;332.863,97 €
2014;UR;01;Centro;013;CORTES;E;Cultural;22;1952;57893;2632;;;112.294.811,69 €;5.104.309,62 €
2014;UR;01;Centro;013;CORTES;G;Ocio y Hostelería;201;1950;277754;1382;;;542.910.593,51 €;2.701.047,73 €
2014;UR;01;Centro;013;CORTES;I;Industrial;9;1945;13510;1501;;;13.005.693,38 €;1.445.077,04 €
2014;UR;01;Centro;013;CORTES;K;Deportivo;1;1917;260;260;;;372.685,34 €;372.685,34 €
2014;UR;01;Centro;013;CORTES;M;Suelos sin edificar, obras de urbanización y jardinería;6;;;;1817;303;4.622.966,00 €;770.494,33 €
