datos_a§o;clase_inmueble;distrito_cod;distrito_nombre;barrio_cod;barrio_nombre;uso_cod;uso_deno;inmuebles_barrio;a§o_cons_medio;sup_cons_barrio;sup_cons_media;sup_suelo_barrio;sup_suelo_media;val_cat_barrio;val_cat_medio
2015;UR;01;Centro;011;PALACIO;A;AlmacÇn-Estacionamiento;3.040;1.969;216.279;71;;;129.849.055,86;42.713,51
2015;UR;01;Centro;011;PALACIO;C;Comercial;1.412;1.921;224.217;159;;;410.122.073,60;290.454,73
2015;UR;01;Centro;011;PALACIO;E;Cultural;36;1.937;62.899;1.747;;;75.746.642,40;2.104.073,40
2015;UR;01;Centro;011;PALACIO;G;Ocio y Hosteler°a;257;1.908;114.145;444;;;199.047.734,15;774.504,80
2015;UR;01;Centro;011;PALACIO;I;Industrial;22;1.942;13.228;601;;;11.807.949,49;536.724,98
2015;UR;01;Centro;011;PALACIO;K;Deportivo;8;1.946;8.093;1.012;;;11.362.035,84;1.420.254,48
2015;UR;01;Centro;011;PALACIO;M;Suelos sin edificar, obras de urbanizaci¢n y jardiner°a;66;;;;135.976;2.060;35.399.469,72;536.355,60
2015;UR;01;Centro;011;PALACIO;O;Oficinas;562;1.945;178.715;318;;;310.730.156,96;552.900,64
2015;UR;01;Centro;011;PALACIO;P;Edificio Singular;15;1.891;197.446;13.163;;;281.542.896,41;18.769.526,43
2015;UR;01;Centro;011;PALACIO;R;Religioso;17;1.884;102.718;6.042;;;114.254.183,76;6.720.834,34
2015;UR;01;Centro;011;PALACIO;T;Espect†culos;5;1.939;84.965;16.993;;;155.716.509,31;31.143.301,86
2015;UR;01;Centro;011;PALACIO;V;Residencial;13.197;1.928;1.365.784;103;;;1.856.167.841,85;140.650,74
2015;UR;01;Centro;011;PALACIO;Y;Sanidad y Beneficencia;11;1.939;25.101;2.282;;;25.184.133,43;2.289.466,68
2015;UR;01;Centro;012;EMBAJADORES;A;AlmacÇn-Estacionamiento;4.062;1.975;263.403;65;;;141.505.976,28;34.836,53
2015;UR;01;Centro;012;EMBAJADORES;C;Comercial;2.648;1.926;395.259;149;;;576.552.910,21;217.731,46
2015;UR;01;Centro;012;EMBAJADORES;E;Cultural;48;1.920;186.078;3.877;;;212.632.300,22;4.429.839,59
2015;UR;01;Centro;012;EMBAJADORES;G;Ocio y Hosteler°a;109;1.903;52.413;481;;;79.600.875,32;730.283,26
2015;UR;01;Centro;012;EMBAJADORES;I;Industrial;25;1.938;3.677;147;;;2.699.860,87;107.994,43
