datos_año;clase_inmueble;distrito_cod;distrito_nombre;barrio_cod;barrio_nombre;uso_cod;uso_deno;inmuebles_barrio;año_cons_medio;sup_cons_barrio;sup_cons_media;sup_suelo_barrio;sup_suelo_media;val_cat_barrio;val_cat_medio
2017;UR;01;Centro;011;Palacio;A;Almacén-Estacionamiento;2995;1970,00;205391,00;69,00;;;119936897,66 €;40045,71 €
2017;UR;01;Centro;011;Palacio;C;Comercial;1477;1921,00;232969,00;158,00;;;425680924,24 €;288206,45 €
2017;UR;01;Centro;011;Palacio;E;Cultural;36;1934,00;67715,00;1881,00;;;82383918,41 €;2288442,18 €
2017;UR;01;Centro;011;Palacio;G;Ocio y Hostelería;398;1925,00;127006,00;319,00;;;224104742,40 €;563077,24 €
2017;UR;01;Centro;011;Palacio;I;Industrial;20;1940,00;2563,00;128,00;;;1737451,92 €;86872,60 €
2017;UR;01;Centro;011;Palacio;K;Deportivo;8;1959,00;8895,00;1112,00;;;14544962,48 €;1818120,31 €
2017;UR;01;Centro;011;Palacio;M;Suelos sin edificar, obras de urbanización y jardinería;66;;;;114218,00;1731,00;32925225,00 €;498867,05 €
2017;UR;01;Centro;011;Palacio;O;Oficinas;552;1947,00;180371,00;327,00;;;307425426,09 €;556930,12 €
2017;UR;01;Centro;011;Palacio;P;Edificio Singular;16;1890,00;193937,00;12121,00;;;283088451,44 €;17693028,22 €
2017;UR;01;Centro;011;Palacio;R;Religioso;18;1883,00;107441,00;5969,00;;;117636992,26 €;6535388,46 €
2017;UR;01;Centro;011;Palacio;T;Espectáculos;5;1939,00;84965,00;16993,00;;;156106207,34 €;31221241,47 €
2017;UR;01;Centro;011;Palacio;V;Residencial;13185;1928,00;1355702,00;103,00;;;1863673519,20 €;141348,01 €
2017;UR;01;Centro;011;Palacio;Y;Sanidad y Beneficencia;11;1939,00;25101,00;2282,00;;;27088855,06 €;2462623,19 €
2017;UR;01;Centro;012;Embajadores;A;Almacén-Estacionamiento;4113;1975,00;259968,00;63,00;;;138286076,08 €;33621,71 €
2017;UR;01;Centro;012;Embajadores;C;Comercial;2677;1926,00;406691,00;152,00;;;597877490,98 €;223338,62 €
2017;UR;01;Centro;012;Embajadores;E;Cultural;48;1922,00;195166,00;4066,00;;;222570208,29 €;4636879,34 €
2017;UR;01;Centro;012;Embajadores;G;Ocio y Hostelería;110;1903,00;58195,00;529,00;;;90699539,43 €;824541,27 €
2017;UR;01;Centro;012;Embajadores;I;Industrial;24;1940,00;2879,00;120,00;;;2188503,29 €;91187,64 €
2017;UR;01;Centro;012;Embajadores;K;Deportivo;9;2002,00;4150,00;461,00;;;2866684,00 €;318520,44 €
2017;UR;01;Centro;012;Embajadores;M;Suelos sin edificar, obras de urbanización y jardinería;37;;;;20593,00;557,00;18535777,00 €;500966,95 €
2017;UR;01;Centro;012;Embajadores;O;Oficinas;171;1946,00;84147,00;492,00;;;76964569,85 €;450085,20 €
2017;UR;01;Centro;012;Embajadores;P;Edificio Singular;3;1918,00;18576,00;6192,00;;;18586882,51 €;6195627,50 €
2017;UR;01;Centro;012;Embajadores;R;Religioso;8;1865,00;17786,00;2223,00;;;15345569,12 €;1918196,14 €
2017;UR;01;Centro;012;Embajadores;T;Espectáculos;7;1951,00;22092,00;3156,00;;;33725626,38 €;4817946,63 €
2017;UR;01;Centro;012;Embajadores;V;Residencial;24941;1927,00;1971268,00;79,00;;;2476657476,17 €;99300,65 €
2017;UR;01;Centro;012;Embajadores;Y;Sanidad y Beneficencia;10;1984,00;8940,00;894,00;;;10211951,61 €;1021195,16 €
2017;UR;01;Centro;013;Cortes;A;Almacén-Estacionamiento;1547;1970,00;119568,00;77,00;;;87409912,61 €;56502,85 €
2017;UR;01;Centro;013;Cortes;C;Comercial;878;1916,00;148526,00;169,00;;;289380699,69 €;329590,77 €
2017;UR;01;Centro;013;Cortes;E;Cultural;22;1952,00;57893,00;2632,00;;;112294811,81 €;5104309,63 €
2017;UR;01;Centro;013;Cortes;G;Ocio y Hostelería;202;1951,00;286512,00;1418,00;;;565227478,40 €;2798155,83 €
