desc_epigrafe,id_local,lat,lon,points_in_radius
ACTIVIDADES DE LOS GIMNASIOS,10001889,40.407625128980605,-3.6971737996665928,6
ACTIVIDADES DE LOS GIMNASIOS,10003512,40.42950424380153,-3.7067248165845497,9
ACTIVIDADES DE LOS GIMNASIOS,20001385,40.402848291549844,-3.7137642732929272,5
ACTIVIDADES DE LOS GIMNASIOS,20001865,40.404549592775346,-3.7037062169876327,8
ACTIVIDADES DE LOS GIMNASIOS,20002001,40.39853720784503,-3.701275071656054,11
ACTIVIDADES DE LOS GIMNASIOS,30000302,40.41671027763358,-3.675214288129413,5
ACTIVIDADES DE LOS GIMNASIOS,30000673,40.40027670695076,-3.6707489937025315,4
ACTIVIDADES DE LOS GIMNASIOS,30000675,40.404788408698074,-3.674164254048232,8
ACTIVIDADES DE LOS GIMNASIOS,30000866,40.40895508696185,-3.670293007434864,6
ACTIVIDADES DE LOS GIMNASIOS,40000614,40.43596397884365,-3.688753385077528,5
ACTIVIDADES DE LOS GIMNASIOS,40001466,40.43083633594639,-3.6844568748501234,2
ACTIVIDADES DE LOS GIMNASIOS,40002499,40.43321479257772,-3.678315021877129,5
ACTIVIDADES DE LOS GIMNASIOS,40002689,40.42979174360079,-3.676712657995629,5
ACTIVIDADES DE LOS GIMNASIOS,40002754,40.43314517133291,-3.6701557584147104,3
ACTIVIDADES DE LOS GIMNASIOS,40003070,40.421236768205965,-3.6651929200130455,3
ACTIVIDADES DE LOS GIMNASIOS,50001210,40.4432400003401,-3.6755503122208513,13
ACTIVIDADES DE LOS GIMNASIOS,50001212,40.45028227010353,-3.6852201862123652,1
ACTIVIDADES DE LOS GIMNASIOS,50001216,40.44271465942028,-3.66826981225032,4
ACTIVIDADES DE LOS GIMNASIOS,50001224,40.454651990318936,-3.6790375606460217,5
ACTIVIDADES DE LOS GIMNASIOS,50001228,40.442142806203904,-3.6736646128417823,9
ACTIVIDADES DE LOS GIMNASIOS,50001231,40.4433597377524,-3.6797139512467054,10
ACTIVIDADES DE LOS GIMNASIOS,50001906,40.460189901984734,-3.6886467911507697,3
ACTIVIDADES DE LOS GIMNASIOS,60001292,40.45544089039984,-3.7023496624752568,5
ACTIVIDADES DE LOS GIMNASIOS,60001684,40.447809020386345,-3.7025415497545455,12
ACTIVIDADES DE LOS GIMNASIOS,60001722,40.466208788500815,-3.6915154989414387,5
ACTIVIDADES DE LOS GIMNASIOS,60001737,40.45056708457872,-3.6933718349700633,8
ACTIVIDADES DE LOS GIMNASIOS,60001741,40.447239494971136,-3.699894147644404,13
ACTIVIDADES DE LOS GIMNASIOS,60001742,40.46602292496368,-3.693967071806123,4
ACTIVIDADES DE LOS GIMNASIOS,60002757,40.45584547049396,-3.705443847872373,4
ACTIVIDADES DE LOS GIMNASIOS,70001316,40.438725427774614,-3.6984970666963353,3
ACTIVIDADES DE LOS GIMNASIOS,70001608,40.4352076113152,-3.7125027659376766,7
ACTIVIDADES DE LOS GIMNASIOS,70002180,40.43495902989505,-3.7177348429908847,3
ACTIVIDADES DE LOS GIMNASIOS,70002361,40.44339829686099,-3.695974863398984,6
ACTIVIDADES DE LOS GIMNASIOS,70002424,40.435478836496564,-3.7020241173905415,8
ACTIVIDADES DE LOS GIMNASIOS,70002477,40.429621961009246,-3.7036726448949975,9
ACTIVIDADES DE LOS GIMNASIOS,80000863,40.484001937502995,-3.7078384811653247,3
ACTIVIDADES DE LOS GIMNASIOS,80000916,40.509934629901636,-3.6906304519816313,1
ACTIVIDADES DE LOS GIMNASIOS,80001047,40.500044621535785,-3.714084744469522,0
ACTIVIDADES DE LOS GIMNASIOS,80001258,40.51224537095285,-3.668392429012215,3
ACTIVIDADES DE LOS GIMNASIOS,90001076,40.467589467044505,-3.814394231552292,0
ACTIVIDADES DE LOS GIMNASIOS,90001164,40.45914325131052,-3.7837805459060343,0
ACTIVIDADES DE LOS GIMNASIOS,100000988,40.37868900022101,-3.7654601596976223,2
ACTIVIDADES DE LOS GIMNASIOS,100001017,40.39495511244874,-3.756512288791013,4
ACTIVIDADES DE LOS GIMNASIOS,100001762,40.38589482121274,-3.7629378888542537,2
ACTIVIDADES DE LOS GIMNASIOS,110001537,40.37165518163409,-3.756887972540971,0
ACTIVIDADES DE LOS GIMNASIOS,110002440,40.39398080780156,-3.706848283671613,8
ACTIVIDADES DE LOS GIMNASIOS,110002889,40.385897225999365,-3.740364688466229,3
ACTIVIDADES DE LOS GIMNASIOS,110003833,40.39518417958097,-3.7118805080418737,7
ACTIVIDADES DE LOS GIMNASIOS,130001587,40.39655000245049,-3.665527292420618,3
ACTIVIDADES DE LOS GIMNASIOS,130001592,40.40022516313942,-3.6640551194630153,3
ACTIVIDADES DE LOS GIMNASIOS,150001796,40.435743892756335,-3.642403747431535,14
ACTIVIDADES DE LOS GIMNASIOS,150001824,40.43212533325947,-3.651529880039441,7
ACTIVIDADES DE LOS GIMNASIOS,150001833,40.43321257687219,-3.6455982876206097,10
ACTIVIDADES DE LOS GIMNASIOS,160001619,40.46289799523986,-3.6357149635204498,6
ACTIVIDADES DE LOS GIMNASIOS,160002038,40.47311324990152,-3.642417401424244,1
ACTIVIDADES DE LOS GIMNASIOS,160002390,40.464134567280816,-3.6303361856309517,4
ACTIVIDADES DE LOS GIMNASIOS,170001271,40.356369461922654,-3.6916411884611655,3
ACTIVIDADES DE LOS GIMNASIOS,170001272,40.359579083769326,-3.69425303266123,5
ACTIVIDADES DE LOS GIMNASIOS,180000349,40.385700304062084,-3.6103892567719207,1
ACTIVIDADES DE LOS GIMNASIOS,180000413,40.378409909290596,-3.6259677028772486,5
ACTIVIDADES DE LOS GIMNASIOS,180000451,40.3829788734729,-3.6070777635490834,4
ACTIVIDADES DE LOS GIMNASIOS,180000575,40.368668959844996,-3.6077268517317385,1
ACTIVIDADES DE LOS GIMNASIOS,200001300,40.43893893589862,-3.6315158239768017,3
ACTIVIDADES DE LOS GIMNASIOS,200001912,40.4386498664991,-3.6333053221364335,6
ACTIVIDADES DE LOS GIMNASIOS,200002047,40.4346877100209,-3.632973393307263,3
ACTIVIDADES DE LOS GIMNASIOS,210000397,40.451382939312666,-3.5810991084413617,1
ACTIVIDADES DE LOS GIMNASIOS,270017526,40.43559559201913,-3.6415298558262728,14
ACTIVIDADES DE LOS GIMNASIOS,270024508,40.47854524201268,-3.7014812806017705,1
ACTIVIDADES DE LOS GIMNASIOS,270028652,40.43771092190842,-3.6812723744099856,9
ACTIVIDADES DE LOS GIMNASIOS,270033058,40.375196643127424,-3.7414256400615873,1
ACTIVIDADES DE LOS GIMNASIOS,270033770,40.38475407620533,-3.6676144172241063,7
ACTIVIDADES DE LOS GIMNASIOS,270036011,40.440251035088274,-3.68134518057935,12
ACTIVIDADES DE LOS GIMNASIOS,270042126,40.407816132854855,-3.6983660961288183,7
ACTIVIDADES DE LOS GIMNASIOS,270055085,40.40276736054729,-3.7019671173953936,14
ACTIVIDADES DE LOS GIMNASIOS,270055350,40.400300792648466,-3.7001503149549513,11
ACTIVIDADES DE LOS GIMNASIOS,270057700,40.40217299458747,-3.6974476297120047,10
ACTIVIDADES DE LOS GIMNASIOS,270058476,40.40423117764399,-3.693768452993983,4
ACTIVIDADES DE LOS GIMNASIOS,270062594,40.41872219814637,-3.6731716222468,6
ACTIVIDADES DE LOS GIMNASIOS,270069218,40.42755244577654,-3.682172029906587,6
ACTIVIDADES DE LOS GIMNASIOS,270090156,40.449000330939214,-3.6702777323389433,4
ACTIVIDADES DE LOS GIMNASIOS,270091745,40.457055614924506,-3.671631532724191,3
ACTIVIDADES DE LOS GIMNASIOS,270123196,40.441035174761936,-3.694936565929993,4
ACTIVIDADES DE LOS GIMNASIOS,270131971,40.49253369524361,-3.6853544376993215,1
ACTIVIDADES DE LOS GIMNASIOS,270133113,40.483550396136174,-3.726912006039753,0
ACTIVIDADES DE LOS GIMNASIOS,270136867,40.446113438418706,-3.7146224552526967,4
ACTIVIDADES DE LOS GIMNASIOS,270141657,40.390325710826005,-3.7438064960264015,3
ACTIVIDADES DE LOS GIMNASIOS,270144699,40.378559580074594,-3.779453537089583,1
ACTIVIDADES DE LOS GIMNASIOS,270145625,40.38079801523221,-3.7666856581862462,2
ACTIVIDADES DE LOS GIMNASIOS,270146007,40.3934186059906,-3.707443332094352,7
ACTIVIDADES DE LOS GIMNASIOS,270149834,40.39204071761738,-3.7418930142313664,3
ACTIVIDADES DE LOS GIMNASIOS,270149895,40.38946722399015,-3.7400031878796267,5
ACTIVIDADES DE LOS GIMNASIOS,270153837,40.38214510622975,-3.729709125631296,1
ACTIVIDADES DE LOS GIMNASIOS,270161001,40.38903223513726,-3.640699235761887,1
ACTIVIDADES DE LOS GIMNASIOS,270172715,40.43354216780499,-3.655882241733528,9
ACTIVIDADES DE LOS GIMNASIOS,270179550,40.47717195527473,-3.64644353755484,0
ACTIVIDADES DE LOS GIMNASIOS,270180019,40.46967020804957,-3.6618954314135133,2
ACTIVIDADES DE LOS GIMNASIOS,270185096,40.37991949985899,-3.6063670275843136,3
ACTIVIDADES DE LOS GIMNASIOS,270186992,40.4377023526812,-3.620267885338328,3
ACTIVIDADES DE LOS GIMNASIOS,270189228,40.44286146781466,-3.637424720973384,1
ACTIVIDADES DE LOS GIMNASIOS,270190363,40.475804850429306,-3.581415547387681,1
ACTIVIDADES DE LOS GIMNASIOS,270190572,40.46552697611733,-3.5847123458164933,0
ACTIVIDADES DE LOS GIMNASIOS,270200116,40.3833915337732,-3.7205686364479984,0
ACTIVIDADES DE LOS GIMNASIOS,270203217,40.44535564797678,-3.668036544986839,3
ACTIVIDADES DE LOS GIMNASIOS,270203579,40.43261650029192,-3.7148569403027007,6
ACTIVIDADES DE LOS GIMNASIOS,270205185,40.462728317584755,-3.6980260278933534,9
ACTIVIDADES DE LOS GIMNASIOS,270206230,40.48229548684422,-3.7143214816051806,4
ACTIVIDADES DE LOS GIMNASIOS,270214657,40.34738517723651,-3.702464714681956,1
ACTIVIDADES DE LOS GIMNASIOS,270218653,40.466581868474606,-3.699894250621283,4
ACTIVIDADES DE LOS GIMNASIOS,270223203,40.38389823181871,-3.7472230291426736,0
ACTIVIDADES DE LOS GIMNASIOS,270233731,40.43087273453216,-3.706868826419487,11
ACTIVIDADES DE LOS GIMNASIOS,270238550,40.420650478032925,-3.6974614882907817,7
ACTIVIDADES DE LOS GIMNASIOS,270238811,40.38407510714409,-3.754682390630552,2
ACTIVIDADES DE LOS GIMNASIOS,270247280,40.46645251308182,-3.6959531621188018,6
ACTIVIDADES DE LOS GIMNASIOS,270247549,40.426100574167705,-3.680884192288794,7
ACTIVIDADES DE LOS GIMNASIOS,270267944,40.44369134325841,-3.71440813670764,3
ACTIVIDADES DE LOS GIMNASIOS,270268021,40.376431558214406,-3.6641397588495264,1
ACTIVIDADES DE LOS GIMNASIOS,270268619,40.43077897413564,-3.698580008983505,7
ACTIVIDADES DE LOS GIMNASIOS,270270594,40.353492128712,-3.69221236218542,1
ACTIVIDADES DE LOS GIMNASIOS,270279529,40.44302730927491,-3.674946813438304,11
ACTIVIDADES DE LOS GIMNASIOS,270285087,40.41899673937793,-3.6274867457316535,2
ACTIVIDADES DE LOS GIMNASIOS,270286766,40.422147716038985,-3.678993632928076,7
ACTIVIDADES DE LOS GIMNASIOS,270299907,40.38538812458436,-3.651185594579061,2
ACTIVIDADES DE LOS GIMNASIOS,270307050,40.43608621834231,-3.680265586254329,10
ACTIVIDADES DE LOS GIMNASIOS,270307096,40.386694622047685,-3.668552552486049,7
ACTIVIDADES DE LOS GIMNASIOS,270310479,40.42862624151377,-3.705925760619325,8
ACTIVIDADES DE LOS GIMNASIOS,270315949,40.3447662064658,-3.7138116299168833,1
ACTIVIDADES DE LOS GIMNASIOS,270317413,40.470917046516576,-3.6485306244834743,1
ACTIVIDADES DE LOS GIMNASIOS,270319348,40.429578396437,-3.665322142193975,4
ACTIVIDADES DE LOS GIMNASIOS,270324323,40.45872839374209,-3.673676811501746,3
ACTIVIDADES DE LOS GIMNASIOS,270327557,40.455300967719616,-3.6759069690059603,7
ACTIVIDADES DE LOS GIMNASIOS,270327738,40.47537162208901,-3.7165839427506495,3
ACTIVIDADES DE LOS GIMNASIOS,270339192,40.360509386169284,-3.6893398405931306,3
ACTIVIDADES DE LOS GIMNASIOS,270347163,40.410476073429365,-3.6949992629945916,6
ACTIVIDADES DE LOS GIMNASIOS,270347242,40.442689162640406,-3.6742123582542217,11
ACTIVIDADES DE LOS GIMNASIOS,270352329,40.404928945464526,-3.7494706435996505,2
ACTIVIDADES DE LOS GIMNASIOS,270352510,40.44608781741704,-3.6981605567106426,13
ACTIVIDADES DE LOS GIMNASIOS,270354869,40.41926512428548,-3.6743086251073236,8
ACTIVIDADES DE LOS GIMNASIOS,270359183,40.395249853666726,-3.70705008566142,9
ACTIVIDADES DE LOS GIMNASIOS,270375400,40.43656274341599,-3.68195642002829,10
ACTIVIDADES DE LOS GIMNASIOS,270375742,40.44520379803532,-3.6678109946828874,3
ACTIVIDADES DE LOS GIMNASIOS,270377906,40.40257493980965,-3.7039802654869063,15
ACTIVIDADES DE LOS GIMNASIOS,270378822,40.38193995368145,-3.6066414721279294,3
ACTIVIDADES DE LOS GIMNASIOS,270379942,40.44904461662516,-3.7008326968917036,13
ACTIVIDADES DE LOS GIMNASIOS,270397344,40.434719262429525,-3.70248782119792,8
ACTIVIDADES DE LOS GIMNASIOS,270400674,40.49089458470081,-3.688299543739802,1
ACTIVIDADES DE LOS GIMNASIOS,270408036,40.41098140986375,-3.6562524535829577,1
ACTIVIDADES DE LOS GIMNASIOS,270415912,40.451583481544226,-3.6936417289105807,8
ACTIVIDADES DE LOS GIMNASIOS,270416288,40.473284036141436,-3.5792822796201986,1
ACTIVIDADES DE LOS GIMNASIOS,270418546,40.45813941714011,-3.708935332960558,3
ACTIVIDADES DE LOS GIMNASIOS,270420264,40.40831937235809,-3.669614926906085,5
ACTIVIDADES DE LOS GIMNASIOS,270420616,40.428215607728106,-3.6641769708648253,6
ACTIVIDADES DE LOS GIMNASIOS,270422401,40.43273788753676,-3.6450985773272144,10
ACTIVIDADES DE LOS GIMNASIOS,270435834,40.44733292765849,-3.6766054307139773,6
ACTIVIDADES DE LOS GIMNASIOS,270437787,40.42185568451145,-3.6842127176554436,4
ACTIVIDADES DE LOS GIMNASIOS,270438904,40.405187491022865,-3.6034116576419013,1
ACTIVIDADES DE LOS GIMNASIOS,270441398,40.42332370440303,-3.676636046386168,6
ACTIVIDADES DE LOS GIMNASIOS,270441783,40.37913882877246,-3.605771124354006,3
