Fecha Descarga;IdDataset;Nombre;Sector;Número de recursos;Número de descargas;Número de votos;Formatos;Frecuencia de actualización;Fecha de incorporación;Fecha última actualización de metadatos;Fecha última actualización de datos
29/08/2019;;Áreas caninas;Medio ambiente;;8497;40;,CSV,XLS;Anual;43690;;
29/08/2019;;Áreas de actividades para mayores;Cultura y ocio;;1903;951;,CSV,XLS;Anual;41905;;
29/08/2019;;Áreas de Prioridad Residencial (APR);Transporte;;3894;573;,CSV;Anual;42460;;
29/08/2019;;Áreas infantiles municipales;Cultura y ocio;;4013;1164;,CSV,XLS;Anual;42471;;
29/08/2019;;Accidentes de tráfico con implicación de bicicletas;Seguridad;;15768;45;,XLS;Mensual;42446;;
29/08/2019;;Accidentes de tráfico de la Ciudad de Madrid;Seguridad;;5935;20;,XLS;Mensual;43272;;
29/08/2019;;Accidentes de tráfico. Datos desde 2009 (Seguridad vial);Seguridad;;12425;1662;,XLS;Anual;41841;;
29/08/2019;;Activaciones del SAMUR-Protección Civil;Seguridad;;1497;22;,XLS;Trimestral;41947;;
29/08/2019;;Actividad contractual;Hacienda;;19013;1419;,XLS;Mensual;41710;;
29/08/2019;;Actividades Culturales y de Ocio Municipal en los próximos 100 días;Cultura y ocio;;106595;1279;,CSV,GEO,JSON,RDF,API;Diaria;41710;;
29/08/2019;;Actividades gratuitas en Bibliotecas Municipales en los próximos 60 días;Cultura y ocio;;54005;1292;,CSV,GEO,JSON,RDF,API;Diaria;42738;;
29/08/2019;;Actuaciones del Cuerpo de Bomberos;Seguridad;;1951;23;,XLS;Mensual;43245;;
29/08/2019;;Actuaciones en materia de limpieza urbana;Medio ambiente;;1391;17;,XLS;Trimestral;41710;;
29/08/2019;;Aforos de peatones y bicicletas;Transporte;;721;16;,CSV,XML;Trimestral;41710;;
29/08/2019;;Aforos de tráfico de la Ciudad de Madrid no permanentes;Transporte;;779;8;,CSV,XML;Trimestral;42446;;
29/08/2019;;Aforos de tráfico en la ciudad de Madrid permanentes ;Transporte;;3368;11;,CSV,XLS;Mensual;43245;;
29/08/2019;;Agenda de actividades deportivas;Deporte;;72236;893;,CSV,GEO,JSON,RDF,API;Diaria;42352;;
29/08/2019;;Agenda de actividades y eventos;Cultura y ocio;;199784;69;,CSV,GEO,JSON,RDF,API;Diaria;41908;;
29/08/2019;;Agenda de eventos en centros de la Dirección General de Comercio y Emprendimiento. Cursos y talleres gratuitos sobre emprendimiento y comercio;Economía;;1964;1486;,XLS;Mensual;43060;;
29/08/2019;;Agenda de eventos en Medialab-Prado;Cultura y ocio;;1722;1236;,XLS;Trimestral;41936;;
29/08/2019;;Agenda Madrid Innovación y ciudad inteligente;Economía;;238;6;,XLS;Diaria;43245;;
29/08/2019;;Agenda turística de la ciudad de Madrid (www.esmadrid.com);Turismo;;2395;751;,XML;Diaria;42471;;
29/08/2019;;Agendas institucionales;Sector público;;732;43;,XLS;Trimestral;43024;;
29/08/2019;;Alojamientos de la ciudad de Madrid (www.esmadrid.com);Turismo;;3616;398;,XML;Diaria;42471;;
29/08/2019;;Anotaciones de entrada en las Oficinas de Registro del Ayuntamiento de Madrid;Sector público;;2254;1421;,CSV;Mensual;41834;;
29/08/2019;;Aparcamientos públicos municipales;Urbanismo e infraestructuras;;22354;1787;,CSV,GEO,JSON,RDF,API;Anual;43434;;
29/08/2019;;Aparcamientos residentes PAR y aparcamientos públicos mixtos;Urbanismo e infraestructuras;;24394;1504;,CSV,GEO,JSON,RDF,API;Anual;42738;;
29/08/2019;;Aparcamientos rotacionales. Histórico de ocupación;Transporte;;96;3;,XLS;Mensual;43445;;
29/08/2019;;Aparcamientos Rotacionales:  información de ocupación y detalles;Transporte;;1087786;6;,API;Tiempo real;43549;;
29/08/2019;;Arbolado en parques y zonas verdes de Madrid;Medio ambiente;;3824;4;,XLS;Anual;0/0/0;;
29/08/2019;;Aseos públicos;Sector público;;11164;165;,CSV,XLS;Mensual;42129;;
29/08/2019;;Atención personalizada en Línea Madrid (canal presencial, telefónico y telemático @lineamadrid);Sector público;;8530;1292;,CSV;Mensual;42129;;
29/08/2019;;Autorizaciones administrativas que permiten actuaciones urbanísticas en suelo de dominio público;Urbanismo e infraestructuras;;368;6;,XLS;Mensual;43175;;
29/08/2019;;Autorizaciones del Servicio de Estacionamiento Regulado;Transporte;;1825;76;,XLS;Trimestral;42781;;
29/08/2019;;Avisos ciudadanos;Sociedad y bienestar;;9311;1352;,CSV;Mensual;42180;;
29/08/2019;;Avisos y reclamaciones recepcionados en las secciones de bicicleta pública (BiciMAD), señalización y SER;Transporte;;1273;609;,CSV;Semanal;42237;;
29/08/2019;;Ayudas sociales;Sector público;;2681;4;,XLS;Trimestral;0/0/0;;
29/08/2019;;Bibliotecas Públicas de Madrid. Catálogo;Cultura y ocio;;1635;1526;,XML;Mensual;41710;;
29/08/2019;;Bibliotecas Públicas de Madrid. Préstamos Activos;Cultura y ocio;;3852;1151;,CSV;Mensual;41816;;
29/08/2019;;Bibliotecas Públicas de Madrid. Préstamos Activos. Histórico;Cultura y ocio;;13351;5992;,TXT;Mensual;42348;;
29/08/2019;;Bibliotecas y bibliobuses en la ciudad de Madrid;Cultura y ocio;;8664;1282;,CSV,GEO,JSON,RDF,API;Anual;42129;;
29/08/2019;;Bici. Áreas de descanso;Transporte;;1000;1335;,CSV,XLS;Semestral;43663;;
29/08/2019;;Bici. Aparcabicis;Transporte;;4419;1641;,CSV,XLS;Semestral;43614;;
29/08/2019;;Bici. Avanza bici;Transporte;;1027;1588;,SHP,XLS;Semestral;42103;;
29/08/2019;;Bici. Calles tranquilas;Transporte;;3118;922;,CSV,KML,XLS;Semestral;43388;;
29/08/2019;;Bici. Ciclocarriles;Transporte;;3120;1513;,CSV,KML,XLS;Semestral;41710;;
