datos_año;clase_inmueble;distrito_cod;distrito_nombre;barrio_cod;barrio_nombre;uso_cod;uso_deno;inmuebles_barrio;año_cons_medio;sup_cons_barrio;sup_cons_media;sup_suelo_barrio;sup_suelo_media;val_cat_barrio;val_cat_medio
2013;UR;01;Centro;011;PALACIO;A;Almacén-Estacionamiento;2983;1969;211885;71;;;127.613.081,10 €;42.780,11 €
2013;UR;01;Centro;011;PALACIO;C;Comercial;1396;1922;221519;159;;;408.392.827,92 €;292.545,01 €
2013;UR;01;Centro;011;PALACIO;E;Cultural;36;1937;62987;1750;;;75.839.717,72 €;2.106.658,83 €
2013;UR;01;Centro;011;PALACIO;G;Ocio y Hostelería;232;1910;105048;453;;;180.335.877,38 €;777.309,82 €
2013;UR;01;Centro;011;PALACIO;I;Industrial;23;1944;13518;588;;;11.990.585,06 €;521.329,79 €
2013;UR;01;Centro;011;PALACIO;K;Deportivo;7;1939;6082;869;;;9.282.576,81 €;1.326.082,40 €
2013;UR;01;Centro;011;PALACIO;M;Suelos sin edificar, obras de urbanización y jardinería;45;;;;153577;3413;19.417.274,81 €;431.495,00 €
2013;UR;01;Centro;011;PALACIO;O;Oficinas;573;1946;203756;356;;;352.767.665,56 €;615.650,38 €
2013;UR;01;Centro;011;PALACIO;P;Edificio Singular;15;1891;197518;13168;;;281.666.751,43 €;18.777.783,43 €
2013;UR;01;Centro;011;PALACIO;R;Religioso;17;1884;102718;6042;;;114.254.183,76 €;6.720.834,34 €
2013;UR;01;Centro;011;PALACIO;T;Espectáculos;6;1941;86347;14391;;;156.435.567,50 €;26.072.594,58 €
2013;UR;01;Centro;011;PALACIO;V;Residencial;13037;1928;1370699;105;;;1.859.332.585,30 €;142.619,67 €
2013;UR;01;Centro;011;PALACIO;Y;Sanidad y Beneficencia;11;1939;25101;2282;;;25.184.133,43 €;2.289.466,68 €
2013;UR;01;Centro;012;EMBAJADORES;A;Almacén-Estacionamiento;3955;1974;260153;66;;;139.215.384,34 €;35.199,84 €
2013;UR;01;Centro;012;EMBAJADORES;C;Comercial;2617;1925;388931;149;;;567.719.566,68 €;216.935,26 €
2013;UR;01;Centro;012;EMBAJADORES;E;Cultural;49;1921;182764;3730;;;207.430.215,22 €;4.233.269,70 €
2013;UR;01;Centro;012;EMBAJADORES;G;Ocio y Hostelería;114;1919;56895;499;;;88.201.040,31 €;773.693,34 €
2013;UR;01;Centro;012;EMBAJADORES;I;Industrial;25;1938;3677;147;;;2.699.860,87 €;107.994,43 €
2013;UR;01;Centro;012;EMBAJADORES;K;Deportivo;2;1988;1092;546;;;1.413.430,17 €;706.715,08 €
2013;UR;01;Centro;012;EMBAJADORES;M;Suelos sin edificar, obras de urbanización y jardinería;34;;;;19092;562;13.857.147,00 €;407.563,15 €
2013;UR;01;Centro;012;EMBAJADORES;O;Oficinas;167;1944;92722;555;;;88.332.378,36 €;528.936,40 €
2013;UR;01;Centro;012;EMBAJADORES;P;Edificio Singular;3;1918;18576;6192;;;18.586.882,51 €;6.195.627,50 €
2013;UR;01;Centro;012;EMBAJADORES;R;Religioso;8;1865;17785;2223;;;15.345.569,12 €;1.918.196,14 €
2013;UR;01;Centro;012;EMBAJADORES;T;Espectáculos;7;1935;22361;3194;;;28.232.416,53 €;4.033.202,36 €
2013;UR;01;Centro;012;EMBAJADORES;V;Residencial;24497;1927;1991294;81;;;2.474.861.931,45 €;101.027,14 €
2013;UR;01;Centro;012;EMBAJADORES;Y;Sanidad y Beneficencia;9;1976;6718;746;;;7.202.387,46 €;800.265,27 €
2013;UR;01;Centro;013;CORTES;A;Almacén-Estacionamiento;1516;1968;119789;79;;;87.326.008,39 €;57.602,91 €
2013;UR;01;Centro;013;CORTES;C;Comercial;854;1916;146343;171;;;285.006.302,93 €;333.731,03 €
2013;UR;01;Centro;013;CORTES;E;Cultural;22;1952;57893;2632;;;112.294.811,69 €;5.104.309,62 €
2013;UR;01;Centro;013;CORTES;G;Ocio y Hostelería;200;1950;276880;1384;;;544.484.278,96 €;2.722.421,39 €
2013;UR;01;Centro;013;CORTES;I;Industrial;9;1945;13510;1501;;;13.005.693,38 €;1.445.077,04 €
2013;UR;01;Centro;013;CORTES;K;Deportivo;1;1917;260;260;;;372.685,34 €;372.685,34 €
2013;UR;01;Centro;013;CORTES;M;Suelos sin edificar, obras de urbanización y jardinería;5;;;;1542;308;3.706.794,00 €;741.358,80 €
