Variable,Type,Description
id_local,int64,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
id_distrito_local,int64,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
desc_distrito_local,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
id_barrio_local,int64,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
desc_barrio_local,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
desc_tipo_acceso_local,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
id_situacion_local,float64,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
desc_situacion_local,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
clase_vial_acceso,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
desc_vial_acceso,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
nom_acceso,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
num_acceso,int64,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
cal_acceso,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
id_agrupacion,float64,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
nombre_agrupacion,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
id_tipo_agrup,float64,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
desc_tipo_agrup,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
rotulo,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
id_seccion,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
desc_seccion,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
id_division,int64,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
desc_division,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
id_epigrafe,int64,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
desc_epigrafe,object,Description in: https://datos.madrid.es/FWProjects/egob/Catalogo/Economia/Ficheros/Estructura_DS_FicheroCLA.pdf
conc,object,Support variable that identifies one stores clearly: concatenates  'rotulo'+'desc_vial_acceso'. 
desc_sit_loc_modif_19,object,"Support variable with four categorical values: Cerrado, Abierto, Uso vivienda, En obras. Detail: Cerrado: desc_epigrafe ==  'LOCAL SIN ACTIVIDAD' & desc_situacion_local == 'Baja' | 'Baja PC Asociado | 'Baja reunificacion'| 'Cerrado'. Abierto: desc_situacion_local' == 'Abierto. Uso vivienda: desc_situacion_local == 'Abierto'. En obras: desc_situacion_local == 'En obras'. Year 2019"
desc_sit_loc_modif_18,object,"Support variable with four categorical values: Cerrado, Abierto, Uso vivienda, En obras. Detail: Cerrado: desc_epigrafe ==  'LOCAL SIN ACTIVIDAD' & desc_situacion_local == 'Baja' | 'Baja PC Asociado | 'Baja reunificacion'| 'Cerrado'. Abierto: desc_situacion_local' == 'Abierto. Uso vivienda: desc_situacion_local == 'Abierto'. En obras: desc_situacion_local == 'En obras'. Year 2018"
desc_sit_loc_modif_17,object,"Support variable with four categorical values: Cerrado, Abierto, Uso vivienda, En obras. Detail: Cerrado: desc_epigrafe ==  'LOCAL SIN ACTIVIDAD' & desc_situacion_local == 'Baja' | 'Baja PC Asociado | 'Baja reunificacion'| 'Cerrado'. Abierto: desc_situacion_local' == 'Abierto. Uso vivienda: desc_situacion_local == 'Abierto'. En obras: desc_situacion_local == 'En obras'. Year 2017"
desc_sit_loc_modif_16,object,"Support variable with four categorical values: Cerrado, Abierto, Uso vivienda, En obras. Detail: Cerrado: desc_epigrafe ==  'LOCAL SIN ACTIVIDAD' & desc_situacion_local == 'Baja' | 'Baja PC Asociado | 'Baja reunificacion'| 'Cerrado'. Abierto: desc_situacion_local' == 'Abierto. Uso vivienda: desc_situacion_local == 'Abierto'. En obras: desc_situacion_local == 'En obras'. Year 2016"
desc_sit_loc_modif_15,object,"Support variable with four categorical values: Cerrado, Abierto, Uso vivienda, En obras. Detail: Cerrado: desc_epigrafe ==  'LOCAL SIN ACTIVIDAD' & desc_situacion_local == 'Baja' | 'Baja PC Asociado | 'Baja reunificacion'| 'Cerrado'. Abierto: desc_situacion_local' == 'Abierto. Uso vivienda: desc_situacion_local == 'Abierto'. En obras: desc_situacion_local == 'En obras'. Year 2015"
cerrado_19,int64,"1' if the local has closed in 2019 ('cerrado_19'). Detail: ['cerrado_19'] = np.where(cond1 & cond2, 1 ,0) ; cond1 = ((df_.desc_sit_loc_modif_19 == 'Cerrado') | (df_.desc_sit_loc_modif_19 == 'Uso vivienda'))     
 cond2 = ((df_.desc_sit_loc_modif_18 != 'Cerrado') | df.desc_sit_loc_modif_18.isnull())"
abierto_19,int64,"1' if the store opened in 2019. Detail: df_['abierto_19'] = np.where(cond3, 1 ,0); cond3 = ((df_.desc_sit_loc_modif_19.notnull()) & (df_.desc_sit_loc_modif_18.isnull()))  "
cerrado_18,int64,"1' if the local has closed in 2018 ('cerrado_18'). Detail: ['cerrado_18'] = np.where(cond1 & cond2, 1 ,0) ; cond1 = ((df_.desc_sit_loc_modif_18 == 'Cerrado') | (df_.desc_sit_loc_modif_18 == 'Uso vivienda'))     
 cond2 = ((df_.desc_sit_loc_modif_17 != 'Cerrado') | df.desc_sit_loc_modif_17.isnull())"
abierto_18,int64,"1' if the store opened in 2018. Detail: df_['abierto_19'] = np.where(cond3, 1 ,0); cond3 = ((df_.desc_sit_loc_modif_18.notnull()) & (df_.desc_sit_loc_modif_17.isnull()))  "
cerrado_17,int64,"1' if the local has closed in 2017 ('cerrado_17'). Detail: ['cerrado_17'] = np.where(cond1 & cond2, 1 ,0) ; cond1 = ((df_.desc_sit_loc_modif_17 == 'Cerrado') | (df_.desc_sit_loc_modif_17 == 'Uso vivienda'))     
 cond2 = ((df_.desc_sit_loc_modif_16 != 'Cerrado') | df.desc_sit_loc_modif_16.isnull())"
abierto_17,int64,"1' if the store opened in 2017. Detail: df_['abierto_17'] = np.where(cond3, 1 ,0); cond3 = ((df_.desc_sit_loc_modif_17.notnull()) & (df_.desc_sit_loc_modif_16.isnull()))  "
cerrado_16,int64,"1' if the local has closed in 2016 ('cerrado_16'). Detail: ['cerrado_16'] = np.where(cond1 & cond2, 1 ,0) ; cond1 = ((df_.desc_sit_loc_modif_16 == 'Cerrado') | (df_.desc_sit_loc_modif_16 == 'Uso vivienda'))     
 cond2 = ((df_.desc_sit_loc_modif_15 != 'Cerrado') | df.desc_sit_loc_modif_15.isnull())"
abierto_16,int64,"1' if the store opened in 2016. Detail: df_['abierto_16'] = np.where(cond3, 1 ,0); cond3 = ((df_.desc_sit_loc_modif_16.notnull()) & (df_.desc_sit_loc_modif_15.isnull()))  "
target,int64,"Dependent or target variable. It is '1' if the store has been closed in the last 3 years. Detail:  ['target'] = np.where(cond, 1,0);  cond = ((df_.cerrado_19 == 1) | (df_.cerrado_18 == 1) | (df_.cerrado_17 == 1))"
desc_act_norm,object,Normalized type of activity: count of 'desc_epigrafe' (activity) < than percentile .75 are grouped in a common activity == 'OTRAS ACTIVIDADES'.
id_act_norm,int64,Normalized id of activity: count of 'id_epigrafe' (activity) < than percentile .75 are grouped in a common id_act_norm == 999999
ab_17_19,int64,"1' if the store opened between 2017 and 2019. Detail: ['ab_17_19'] = ['abierto_19'] + ['abierto_18'] + [,'abierto_17']"
loc_dist_act,int64,"Number of stores of the same activity/district. Detail: pd.DataFrame(df.groupby(['id_distrito_local','id_epigrafe']).count().id_local)"
ab_dist_act_17_19,float64,"Number of stores of the same activity and district opened between 2017 and 2019. Detail: pd.DataFrame(df[df['ab_17_19'] ==1].groupby(['id_distrito_local','id_epigrafe']).count().ab_17_19.astype(np.int64)) "
total_loc_act,int64,Number total stores of the same activity. Detail: pd.DataFrame(df.groupby(['id_epigrafe']).count().id_local)
